Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
"Department for Business, Innovation and Skills",BIS,Ordnance Survey,OS,Physical product fulfilment by Ordnance Survey,65812,65812,,73437,,,73437,,,70666,,,66598,,,69158,,,69158,,,Ordering goods,,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Research Councils,,Input research outcomes information,66827,66827,,122441,,,,,,133283,,,119136,,,116223,,,116223,,,Providing information,https://logon.rcuk.ac.uk/,Web based system enabling research organisations to input data about their research for use by the Reasearch Councils in reports and case studies demonstrating the value of the research they fund.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Research Councils,,Research Councils UK - SSRI research placements,11,11,,17,,,8,,,22,,,31,,,37,,,37,,,"Requesting benefits, payments or loans",,"Scheme enabling organisations to engage research scientists in formal research projects and/or collaborations for sharing knowledge, experience and best practice.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Research Councils,,Research Councils’ grants processed by UK Shared Business Services Ltd (UK SBS),,,,15724,,,14725,,,14675,,,15264,,,14106,,,14106,,,"Requesting benefits, payments or loans",,Single web platform for processing applications for grants from the UK Research Councils.,,Data only includes version 1 grants – version 2+ grants are not newly received. Outline grants (included here) are usually excluded from individual Research Council reporting.,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Apprenticeships: applications for vacancies,1136640,1136640,,1190925,1190925,,1274260,1274260,,1380179,1380179,2.38,1475490,1475490,2.33,1613280,1613280,2.74,1613280,1613280,2.74,Providing information,https://www.gov.uk/apply-apprenticeship,The national online recruitment system for apprenticeships in England. The system allows individuals aged 16 and over to apply for apprenticeship vacancies.,"The cost also covers the Apprenticeship vacancies: applications service, as the costs can't currently be separated.",,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Apprenticeships: vacancies posted,,,,,,,,,,125631,125631,,132740,132740,,139790,139790,2.74,139790,139790,2.74,Providing information,http://www.apprenticeships.org.uk/,The national online recruitment system for apprenticeships in England allows individuals aged 16 and over to apply for apprenticeship vacancies.,"The cost of providing this service is detailed with the 'Apprenticeship vacancies: applications' data, as the costs can't currently be separated.",,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Data collections: training organisation data returns,,,,,,,,,,,,,95197,95197,,81053,81053,,81053,81053,,,https://www.gov.uk/government/publications/oldc-online-data-collections-system,These transactions relate to the number of files submitted by learning providers regarding learning and training provision.,,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Employer Ownership Pilot (EOP),,,,,,,15,,,26,26,,178,178,,345,345,,345,345,,Providing information,,Organisations can receive government funding from the Skills Funding Agency to design and deliver their own skills development and training solutions. Volumes represent the total number of data returns submitted by employers.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Large Employer Outcome Pilot,,,,,,,5,,,396,396,,396,396,,341,341,,341,341,,Providing information,,Large organisations can receive government funding from the Skills Funding Agency to design and deliver their own skills development and training solutions. These volumes represent the total number of data returns submitted by large employers during this period.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Learning Record Service: Personal Learning Records (PLRs) viewed or downloaded,,,,,,,,,,,,,423877,423877,,575130,575130,,575130,575130,,Requesting information,https://www.gov.uk/government/publications/learning-records-service-personal-learning-record,"Personal Learning Records (PLR) give individual learners access to their past and current achievement records. These can be shared with schools, colleges, further education training providers, universities or employers when making an application to further their education, training and employment. Individuals can also share their PLR with careers advisers. This figure consists of the total number of PLRs accessed or downloaded.",,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Learning Record Service: unique learner numbers (ULNs) created,540000,,,1563900,,,,,,2350765,2350765,,2291687,2291687,,2238109,2238109,,2238109,2238109,,Providing information,https://www.gov.uk/government/publications/lrs-unique-learner-numbers,"The Learning Records Service portal is an internet-based register of learners which enables education providers to collect or generate a unique learner number (ULN) for anyone over the age of 14 in UK education and training. <br>The transactions counted here include the total number of ULNs created, which consists of batch uploads and individual manually created ULNs.",The Skills Funding Agency can't currently give a breakdown of batch uploads and individual manually created ULNs but are looking at how they can provide data on costs.,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,National Apprenticeship Awards: completed applications,1450,,,1451,,,1610,,,1610,1610,,1610,1610,,1610,1610,,1610,1610,,Providing information,http://www.apprenticeships.org.uk/awards/nationalapprenticeshipawards.aspx,The National Apprenticeship Awards are a celebration of apprentices and employers involved in apprenticeships across England. These transactions relate to the number of entries and applications submitted by employers and individuals.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,National Apprenticeship Awards: registrations,3400,,,2345,,,2248,,,2248,2248,,2248,2248,,2248,2248,,2248,2248,,Registering,http://www.apprenticeships.org.uk/awards/nationalapprenticeshipawards.aspx,The National Apprenticeship Awards are a celebration of apprentices and employers involved in apprenticeships across England. These transactions relate to the number of individuals and employers who have registered for the awards.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,National Career Service: Lifelong Learning accounts created,81027,,,282717,,,326439,,,376808,376808,,418999,418999,,449437,449437,,449437,449437,,Requesting information,https://nationalcareersservice.direct.gov.uk/account/Pages/default.aspx,"The National Careers Service Lifelong Learning Account allows individuals to store information related to skills, learning and careers in one place. For example it stores their Skills Health Check, CVs, and course searches, and allows individuals to keep a Learning Record and details of their qualifications. It also allows inidividuals to view their Learner Statement, which shows any funding that they may have received. These transactions relate to the number of Lifelong Learning Accounts created during this period.",,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,National Careers Service: action plans created,,,,,,,,,,24751,24751,,26164,26164,,26476,26476,,26476,26476,,Providing information,https://nationalcareersservice.direct.gov.uk/tools/plans/Pages/default.aspx,The National Careers Service Action Plan is a series of steps intended to help individuals achieve their career goals. The volumes relate to the total number of Action Plans created during this period.,,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,National Careers Service: CVs created,,,,,,,,,,292150,292150,,295462,295462,,296794,296794,,296794,296794,,Providing information,https://nationalcareersservice.direct.gov.uk/tools/cv/Pages/default.aspx,The service helps individuals to create a CV. The volume relates to the total number of CV created during this period.,,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Professional Career and Development Loans (PCDL): applications packs requested,,,,,,,,,,,,,39252,0,,40154,0,,40154,0,,,https://www.gov.uk/career-development-loans,Professional and Career Development Loans are bank loans to pay for courses and training that help individuals develop careers or find work. The volumes relate to the number of application packs requested and sent out through the post.,,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,Professional Career and Development Loans (PCDL): applications submitted,,,,,,,,,,,,,22102,0,,19564,0,,19564,0,,,https://www.gov.uk/career-development-loans,Professional and Career Development Loans are bank loans to pay for courses and training that help individuals develop careers or find work. The volumes relate to the number of applications submitted.,,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,The Hub: contracting with training organisations,,,,,,,,,,,,,,,,,,,,,,,,The Skills Funding Agency issues funding contracts to providers electronically by uploading documentation to the Hub.,,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,The Hub: issuing funding statements,,,,,,,,,,,,,,,,,,,,,,,,"The Skills Funding Agency issues funding statements to providers electronically by uploading documentation to the Hub. This is used by providers for auditing and legal purposes, and is a commitment by the Agency to issue the funding. Initial statements are issued in January followed by final statements in March each year.",,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,The Hub: issuing reconciliation statements,,,,,,,,,,,,,,,,,,,,,,,,The Skills Funding Agency issues reconciliation statements to colleges by uploading documentation to the Hub. Statements are used by providers for auditing and legal purposes. Volumes relate to the total number of statements submitted.,,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,The Hub: providers returning funding claims,,,,,,,,,,,,,,,,,,,,,,,,"Providers download a claim form from the Hub, complete it and return it by email to the Skills Funding Agency. Volumes relate to the total number of claims returned.",,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,The Hub: subcontractor declarations returned,,,,,,,,,,,,,,,,,,,,,,,,"Providers download a sub-contractor form from the Hub, complete it and return it by email to the Skills Funding Agency. Transactions relate to the total number of delarations submitted.",,,,
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,UK Register of Learning Providers: new providers verified,2000,,,1604,,,2562,,,3129,3129,,4244,4244,,4610,4610,,4610,4610,,Providing information,https://www.ukrlp.co.uk/,"The UK Register of Learning Providers is used by government departments, agencies, learners, and employers to share key information about learning providers. The UKRLP allows learning providers to update their information in one place and share this across agencies such as the Skills Funding Agency, the Higher Education Statistics Agency (HESA), the Higher Education Funding Council for England (HEFCE) and UCAS. These transactions relate to the total number of learning providers who have been verified on the system.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Skills Funding Agency,,UK Register of Learning Providers: updates to provider details,,,,,,,1065,,,1218,1218,,1345,1345,,1580,1580,,1580,1580,,Providing information,https://www.ukrlp.co.uk/,"The UK Register of Learning Providers is used by government departments, agencies, learners, and employers to share key information about learning providers. The UKRLP allows learning providers to update their information in one place and share this across agencies such as the Skills Funding Agency, the Higher Education Statistics Agency (HESA), the Higher Education Funding Council for England (HEFCE) and UCAS. These transactions relate to the number of updates to the details of registered learning providers.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Student Loans Company,SLC,"Student finance: applications for disabled student allowance, EU and other targeted support",150000,,,135476,,,132427,,,153930,0,,171951,0,,172626,0,,172626,0,,"Requesting benefits, payments or loans",https://www.gov.uk/apply-online-for-student-finance,,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Student Loans Company,SLC,Student finance: applications for full-time study,1170015,1073821,46.58,1161503,1073619,47.00,1063199,989219,48.45,1101240,1014327,48.45,1151617,1065796,48.77,1165556,1078468,49.25,1165556,1078468,49.25,"Requesting benefits, payments or loans",https://www.gov.uk/apply-online-for-student-finance,"To provide students in the UK with the funding they require, and to ensure they receive their payments, maintain their account and make repayments. The service varies across the devolved administrations: customers in England receive the full service from SLC; in Wales and Northern Ireland the service is delivered with the support of local authority partners; in Scotland it is delivered in partnership with SAAS.","The total cost for all aspects of processing a student finance application including: mail handling, staff processing time, customer advice, subsequent payment (up to 9 per applicant per annum), identity assurance, data sharing with higher education institutions and UCAS. The transactional costs quoted are approximate and subject to refinement.",,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Student Loans Company,SLC,Student finance: applications for part-time study,95000,,,60249,,,64505,,,83592,23869,,93727,58224,,92559,69874,,92559,69874,,"Requesting benefits, payments or loans",https://www.gov.uk/apply-online-for-student-finance,,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Student Loans Company,SLC,Student Loans: voluntary repayments,238000,81000,,230000,,,230000,,,430019,65557,,427051,71722,,423754,74692,,423754,74692,,Making a payment,https://www.gov.uk/student-finance,,,,Individuals,Taxpayers
"Department for Business, Innovation and Skills",BIS,Technology Strategy Board,TSB,Application for funding,,,,4942,,,4971,,,4961,,,5079,,,5556,,,5556,,,"Requesting benefits, payments or loans",,The user either submits an online application or digitally transfers an application form to apply for grant funding.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Technology Strategy Board,TSB,Assessment of application for funding managed,,,,25457,,,25798,,,24679,,,22610,,,26376,,,26376,,,,,Each application submitted is sent out to several assessors to provide TSB with independent assessment of the project appropriateness for funding. The assessors score the applications and this is aggregated and averaged so comparison with other projects can be made.,,,,
"Department for Business, Innovation and Skills",BIS,Technology Strategy Board,TSB,Business support,24416,,,12916,,,12085,,,12711,,,14133,,,15187,,,15187,,,"Requesting benefits, payments or loans",,Email exchange - the Business Support group support customers in the use of TSB systems,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Technology Strategy Board,TSB,Claims processing,95764,,,21641,,,18621,,,18129,,,18581,,,17741,,,17741,,,"Requesting benefits, payments or loans",,"Projects engaged in grant funded activity claim via the TSB _connect platform. The claims are then processed through a approval workflow being approved by monitoring officers , grants claims team and head of department. This is processed via interaction with each approver through TSB _connect. As well as filing claims data, the customer also files supporting documentation. The monitoring officer may also file supporting documentation. So in reality there are a number of transactions wrapped in one claim but are counted together as one transaction here.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Technology Strategy Board,TSB,Monitoring reports filed,,,,7000,,,7337,,,7436,,,8618,,,9017,,,9017,,,Providing information,,Monitoring officers file project progress reports and verify progress reports submitted by the projects.,,,,
"Department for Business, Innovation and Skills",BIS,Technology Strategy Board,TSB,Registrations for application,,,,12555,,,12243,,,12949,,,13695,,,14347,,,14347,,,Registering,,Anyone interested in entering a TSB competition must first register for an application. This is separate to the registration for TSB _connect. Upon registering for a competition the registration will be sent or get access to the personalised application pack and competition guidance material specific to that competition.,,,,
"Department for Business, Innovation and Skills",BIS,Technology Strategy Board,TSB,Registrations for Knowledge Transfer Network (KTN)/connect access (MEMBERS),,,,18927,,,20600,,,26144,,,24027,,,22135,,,22135,,,Registering,,"New registrations for membership on the TSB _connect platform is required to join communities, comment and blog, create a profile for a person or organisation, make claims from our grants system or create applications for some competitions",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,UK Space Agency,,Applications for 'Space for All' community sponsorship awards,25,,,36,,,36,,,36,36,,36,36,,39,39,,39,39,,"Requesting benefits, payments or loans",http://bis.gov.uk/ukspaceagency/funding/space-for-all,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,UK Space Agency,,Space:uk magazine subscriptions,,,,14000,,,1627,,,14,14,,415,415,,487,487,,487,487,,Ordering goods,http://bis.gov.uk/ukspaceagency/publications,Users submit online forms to subscribe to receive hard copies of our space:uk magazine.,,,,
"Department for Business, Innovation and Skills",BIS,UK Trade & Investment,UKTI,Business opportunities service  (expressions of interest in sales leads),14000,,,18091,,,18340,,,20888,,,22518,,,25165,,,25165,,,Requesting information,https://www.businessopportunities.ukti.gov.uk,"Business Opportunities are overseas sales leads sourced by UKTI's staff in over 100 countries.  The opportunities are published on UKTI's website where UK companies can read them and follow up with UKTI staff, as well as receive email alerts to opportunities in their chosen sector(s), geographic market(s) or subjects of choice.",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,UK Trade & Investment,UKTI,Online registration to participate in UKTI events,30000,,,41874,,,40501,,,49064,49064,,47054,47054,,46724,,,46724,,,Registering,https://www.events.ukti.gov.uk/,"UKTI runs and supports a wide range of events, both in the UK and overseas, aimed at companies interested interested in export/ inward investment.  Examples include provision of support to participate in trade fairs overseas, delivery of sector based trade missions, seminars, workshops and webinars",,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,UK Trade & Investment,UKTI,Overseas Market Introduction Service (OMIS) (Commissioning bespoke services from UKTI),6333,,,5779,,,6112,,,6113,6113,,6148,6148,,6275,,,6275,,,Requesting information,https://www.gov.uk/overseas-market-introduction-service,"OMIS is UKTI's premium, bespoke and chargeable service used by UK companies to pursue export activities.  The OMIS portal manages individual orders.",,,Business,Taxpayers
Cabinet Office,CO,Cabinet Office,,Honours nominations,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/honours/overview,"The honours system recognises people who have made achievements in public life, or committed themselves to serving and helping Britain.",,,Individuals,Taxpayers
Cabinet Office,CO,Cabinet Office,,Public appointments: applications,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/public-appointments,"Applications for positions at a public body, such as a national museum, regulatory agency or a specialist advisory council.",,,Individuals,Taxpayers
Cabinet Office,CO,Cabinet Office,,Queen's Award for Voluntary Service: nominations,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/queens-award-for-voluntary-service/overview,The Queen’s Award for Voluntary Service is the highest award given to volunteer groups across the UK.,,,Individuals,Taxpayers
Cabinet Office,CO,Cabinet Office,,Space for Growth: bookings,,,,,,,,,,,,,,,,,,,,,,Booking events and resources,https://www.epims.ogc.gov.uk/SpaceForGrowth/,Bookings of space in government buildings through the 'Space for Growth' scheme.,,,Business,
Cabinet Office,CO,Cabinet Office,,Space for Growth: registrations,,,,,,,,,,,,,,,,,,,,,,Registering,https://www.epims.ogc.gov.uk/SpaceForGrowth/,"Registrations for 'Space for Growth', which allows organisations to use space in government buildings.",,,Business,Taxpayers
Cabinet Office,CO,Government Digital Service,GDS,Creating an e-petition,36000,36000,,17150,17150,,15550,15550,,16656,16656,,15841,15841,,14915,14915,,14915,14915,,Providing information,https://www.gov.uk/petition-government,"Users can create an e-petition about anything that the government is responsible for and, if it gets at least 100,000 signatures, it will be considered for debate in the House of Commons.","Costs for this service are covered by 'e-petition signatures', which uses the same system.",,Individuals,Taxpayers
Cabinet Office,CO,Government Digital Service,GDS,e-petition signatures,6400000,6400000,0.00500,4820000,4820000,0.00664,4490000,4490000,0.00713,5118265,5118265,0.00625,4610858,4610858,0.00695,4437591,4437591,0.00721,4437591,4437591,0.00721,Providing information,https://www.gov.uk/petition-government,"Users can create an e-petition about anything that the government is responsible for and, if it gets at least 100,000 signatures, it will be considered for debate in the House of Commons.",The costs for this service also cover 'Creating an e-petition'. The given cost per transaction is rounded up to the nearest penny.,,Individuals,Taxpayers
Cabinet Office,CO,Government Digital Service,GDS,Online licence applications,0,0,,2536,,,14702,14702,,31756,31756,,48786,48786,,65560,65560,,65560,65560,,Requesting a licence or consent,https://www.gov.uk/licence-finder,Applications for licences from local authorities and other licensing organisations.,,,Business,
Department for Communities and Local Government,DCLG,Department for Communities and Local Government,DCLG,National Infrastructure Planning applications,,,,,,,14,14,,19,19,,19,19,,19,19,,19,19,,,,,,,Business,
Department for Communities and Local Government,DCLG,Department for Communities and Local Government,DCLG,Planning applications,550000,290000,,,,,476835,319723,,480569,335391,,486718,349820,,489938,362882,,489938,362882,,Requesting a licence or consent,http://www.planningportal.gov.uk/planning/applications/howtoapply/,,,,Individuals,Taxpayers
Department for Communities and Local Government,DCLG,Department for Communities and Local Government,DCLG,Planning Inspectorate - Appeals Casework Service,5500,,,,,,20680,16227,,20600,16283,,20400,16750,,19972,16525,,19972,16525,,Requesting a licence or consent,http://www.planningportal.gov.uk/planning/appeals/online/makeanappeal,,,,Individuals,Taxpayers
"Department for Culture, Media and Sport",DCMS,Arts Council,,Apply for arts funding,,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",http://www.artscouncil.org.uk/funding/apply-for-funding/grants-for-the-arts/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,British Film Institute,BFI,"BFI grants for film making, distribution and training, and tax relief administration",,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",http://www.bfi.org.uk/film-industry,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,British Horseracing Authority,BHA,British Horseracing Grant Scheme,,,,,,,,,,67,67,626.87,67,67,,,,,67,67,,"Requesting benefits, payments or loans",http://www.britishhorseracing.com/grant_scheme/,"The British Horseracing Grant Scheme was created in 2012 by British Horseracing and the Department of Culture, Media and Sport (DCMS) to provide important funding for projects within the British Racing and Thoroughbred Breeding industries.","The scheme is funded by part of British Horseracing's share of the proceeds from the sale of the Tote by DCMS in June 2011. Following an open tender process, the contract to administer the grant scheme on behalf of the Secretary of State was awarded by DCMS to the British Horseracing Authority (BHA).",,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Department for Culture Media and Sport,DCMS,Listed Places of Worship Grant Scheme,,,,,,,,,,3468,0,69.02,3467,,72.33,,,,3467,,72.33,"Requesting benefits, payments or loans",http://www.lpwscheme.org.uk/,The Listed Places of Worship Grant Scheme makes grants towards the VAT incurred in making repairs and carrying out alterations to listed buildings mainly used for public worship.,The number and particularly the complexity of these claims has been growing following recent changes to the scope of the scheme. Some additional costs have been offset by underuse of the Memorial Grant Scheme which is provided by the same supplier.,,Charity,Taxpayers
"Department for Culture, Media and Sport",DCMS,Department for Culture Media and Sport,DCMS,Memorial Grant Scheme claims,,,,,,,,,,56,0,1178.01,55,,1085.47,,,,55,,1085.47,"Requesting benefits, payments or loans",http://www.memorialgrant.org.uk/,"The Memorials Grant Scheme makes grants towards the VAT incurred by registered charities and faith groups excepted from registering as charities, in the construction, repair and maintenance of public memorial structures. The scheme is only valid for the construction, renovation and maintenance of memorials on or after 16 March 2005.","Under the existing contract, the vast majority of the cost is fixed regardless of the number of claims processed. The period in question was exceptionally low in applications, resulting in a high cost per transaction.<br>Underuse of the service has been used to offset additional costs to administer the 'Listed Place of Worship Grant Scheme'.<br>The contract to administer the Memorials Grant Scheme is presently out to tender, and a more cost-effective option should be in place later in 2014.",,Charity,Taxpayers
"Department for Culture, Media and Sport",DCMS,English Heritage,,English Heritage commercial income generation activities,,,,,,,,,,,,,,,,,,,,,,Ordering goods,http://www.english-heritage.org.uk/book-and-buy/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,English Heritage,,English Heritage: grant applications,,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",http://www.english-heritage.org.uk/professional/funding/grants/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Gambling Commission,,Gambling Commission online returns,,,,,,,,,,,,,,,,,,,,,,Providing information,https://secure.gamblingcommission.gov.uk/RegReturnsLive/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Gambling Commission,,Operating licence application,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://www.gamblingcommission.gov.uk/licensing_compliance__enfo/licensing.aspx,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Gambling Commission,,Personal licence application,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://www.gamblingcommission.gov.uk/licensing_compliance__enfo/licensing.aspx,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Gambling Commission,,Remote gambling licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://www.gamblingcommission.gov.uk/licensing_compliance__enfo/licensing.aspx,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Government Equalities Office,GEO,Access to Elected Office Fund,,,,,,,,,,,,,,,,,,,,,,"Requesting benefits, payments or loans",http://www.access-to-elected-office-fund.org.uk/,,,,Individuals,Taxpayers
"Department for Culture, Media and Sport",DCMS,Heritage Lottery Fund,HLF,Apply for lottery funding,30000,,,,,,,,,,,,,,,,,,30000,,,"Requesting benefits, payments or loans",http://www.lotterygoodcauses.org.uk/funding-finder,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for a Club Gaming or Club Machine Permit,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://www.culture.gov.uk/what_we_do/gambling_and_racing/4153.aspx,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for Premises Licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/government/publications/premises-licence-application-forms,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for Premises Licence - transitional conversion standard,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for Premises Licence - transitional conversion vessels only,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for Premises Licence - vessels only,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for Provisional Statement - standard form,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for Provisional Statement - vessels only,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for review of a premises licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application for the reinstatement of a Premises Licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application form for registration to run a small society lottery,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application to transfer a Premises Licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,https://www.gov.uk/government/publications/premises-licence-application-forms,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Application to vary a Premises Licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Notice of Application for a Premises Licence (Form A),,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Licensing authorities,,Notice of application for review to premises licence holder and responsible authorities,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Amend a community radio licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Amend an analogue commercial radio licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Amend your existing Ship Radio Licence details,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Application for Spectrum Trading (Lease) (OfW512),,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Application for Spectrum Trading (OfW206),,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Application for Spectrum Trading (Outright Transfer) (OfW437),,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Application form for Ofcom’s consent to transfer an existing Digital Television Programme Service licence (DTPS) & Digital Television Additional Service licence (DTAS),,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for a new Business Radio licence online,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
"Department for Culture, Media and Sport",DCMS,Ofcom,,Apply for a new Ship Radio Licence,,,,,,,,,,,,,,,,,,,,,,Requesting a licence or consent,http://licensing.ofcom.org.uk/,,,,Business,Taxpayers
